[ESP=00:42:07.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.520000457763672, pressure_hpa: 955.8900146484375}
[ESP=00:42:08.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.530000686645508, pressure_hpa: 955.8699951171875}
[ESP=00:42:09.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.530000686645508, pressure_hpa: 955.9000244140625}
[ESP=00:42:10.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.540000915527344, pressure_hpa: 955.8800048828125}
[ESP=00:42:11.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.8800048828125}
[ESP=00:42:12.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.549999237060547, pressure_hpa: 955.8499755859375}
[ESP=00:42:13.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.8599853515625}
[ESP=00:42:14.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.8800048828125}
[ESP=00:42:15.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.8400268554688}
[ESP=00:42:16.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.56999969482422, pressure_hpa: 955.8699951171875}
[ESP=00:42:17.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.579999923706055, pressure_hpa: 955.8499755859375}
[ESP=00:42:18.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.59000015258789, pressure_hpa: 955.8800048828125}
[ESP=00:42:19.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 24.850000381469727, pressure_hpa: 960.1300048828125}
[ESP=00:42:20.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 31.09000015258789, pressure_hpa: 962.6099853515625}
[ESP=00:42:21.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 30.610000610351562, pressure_hpa: 955.9400024414062}
[ESP=00:42:22.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 28.90999984741211, pressure_hpa: 955.8800048828125}
[ESP=00:42:23.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 28.020000457763672, pressure_hpa: 955.8300170898438}
[ESP=00:42:24.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.649999618530273, pressure_hpa: 955.9000244140625}
[ESP=00:42:25.224] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 27.399999618530273, pressure_hpa: 955.8599853515625}
