[ESP=00:34:23.268] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.01416015625, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:34:23.309] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.0732421875, acc_z: 1.0166015625, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.311] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.0732421875, acc_z: 1.0166015625, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.319] [Pacifier] topic=Pacifier/0_1/pat, pacifier=1, type=pat, values={temperature_c: 28.170000076293945, pressure_hpa: 954.989990234375}
[ESP=00:34:23.328] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.476449966430664, acc_x: -0.00390625, acc_y: 0.0732421875, acc_z: 1.0166015625, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:23.348] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07373046875, acc_z: 1.02001953125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.367] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.01953125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.381] [Pacifier] topic=Pacifier/0_1/airflow, pacifier=1, type=airflow, values={temp_l: 30.60040283203125, temp_r: 31.215789794921875, temp_e: 28.71484375}
[ESP=00:34:23.392] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.0146484375, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:34:23.408] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.072265625, acc_z: 1.0009765625, gyro_x: 0.4878048896789551, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.428] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07275390625, acc_z: 1.0107421875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.448] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.0751953125, acc_z: 1.01513671875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.468] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07470703125, acc_z: 1.01513671875, gyro_x: 0.5487805008888245, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.488] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.0732421875, acc_z: 1.02099609375, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.508] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.005859375, acc_y: 0.07177734375, acc_z: 1.01611328125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.528] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00341796875, acc_y: 0.0732421875, acc_z: 1.01904296875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.548] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0029296875, acc_y: 0.0732421875, acc_z: 1.01708984375, gyro_x: 0.5487805008888245, gyro_y: 0.3658536672592163, gyro_z: 0.18292683362960815}
[ESP=00:34:23.568] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.0048828125, acc_y: 0.07275390625, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.588] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.00537109375, acc_y: 0.07421875, acc_z: 1.01513671875, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.608] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00537109375, acc_y: 0.07421875, acc_z: 1.01708984375, gyro_x: 0.6707317233085632, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:34:23.628] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07421875, acc_z: 1.01513671875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:34:23.648] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07373046875, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
[ESP=00:34:23.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.491546630859375, acc_x: -0.00439453125, acc_y: 0.07373046875, acc_z: 1.0185546875, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:34:23.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 31.506643295288086, acc_x: -0.0048828125, acc_y: 0.0732421875, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.3658536672592163, gyro_z: 0.24390244483947754}
