[ESP=00:06:31.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.672706604003906, acc_x_g: 0.15576171875, acc_y_g: 0.98486328125, acc_z_g: -0.0859375, gyro_x_dps: 0.6707317233085632, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:31.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15478515625, acc_y_g: 0.98388671875, acc_z_g: -0.08642578125, gyro_x_dps: 0.792682945728302, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:31.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15625, acc_y_g: 0.98291015625, acc_z_g: -0.08642578125, gyro_x_dps: 0.7317073345184326, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:31.868] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15576171875, acc_y_g: 0.98193359375, acc_z_g: -0.08740234375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:31.888] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.672706604003906, acc_x_g: 0.15478515625, acc_y_g: 0.98486328125, acc_z_g: -0.08642578125, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:31.908] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.672706604003906, acc_x_g: 0.15478515625, acc_y_g: 0.9853515625, acc_z_g: -0.0849609375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.18292683362960815}
[ESP=00:06:31.928] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.154296875, acc_y_g: 0.98486328125, acc_z_g: -0.0849609375, gyro_x_dps: 0.6097561120986938, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:31.948] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.15576171875, acc_y_g: 0.9853515625, acc_z_g: -0.08544921875, gyro_x_dps: 0.792682945728302, gyro_y_dps: 0.4268292784690857, gyro_z_dps: 0.3048780560493469}
[ESP=00:06:31.968] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.1552734375, acc_y_g: 0.98388671875, acc_z_g: -0.0859375, gyro_x_dps: 0.7317073345184326, gyro_y_dps: 0.3658536672592163, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:31.988] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.702899932861328, acc_x_g: 0.15478515625, acc_y_g: 0.984375, acc_z_g: -0.0869140625, gyro_x_dps: 0.5487805008888245, gyro_y_dps: 0.3048780560493469, gyro_z_dps: 0.24390244483947754}
[ESP=00:06:32.008] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature_c: 31.687801361083984, acc_x_g: 0.15625, acc_y_g: 0.98193359375, acc_z_g: -0.0859375, gyro_x_dps: 0.4878048896789551, gyro_y_dps: 0.4878048896789551, gyro_z_dps: 0.18292683362960815}
