[ESP=00:04:37.648] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.056640625, acc_y: 0.00634765625, acc_z: 1.0185546875, gyro_x: 0.7317073345184326, gyro_y: 0.4878048896789551, gyro_z: 0.24390244483947754}
[ESP=00:04:37.668] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.05712890625, acc_y: 0.0078125, acc_z: 1.017578125, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.18292683362960815}
[ESP=00:04:37.688] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.0576171875, acc_y: 0.00732421875, acc_z: 1.0185546875, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:37.708] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.056640625, acc_y: 0.00732421875, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4878048896789551, gyro_z: 0.18292683362960815}
[ESP=00:04:37.728] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.056640625, acc_y: 0.0068359375, acc_z: 1.017578125, gyro_x: 0.7317073345184326, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:37.748] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.056640625, acc_y: 0.00732421875, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:37.768] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.66847801208496, acc_x: 0.056640625, acc_y: 0.0078125, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.3048780560493469}
[ESP=00:04:37.788] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.65338134765625, acc_x: 0.05810546875, acc_y: 0.0078125, acc_z: 1.01708984375, gyro_x: 0.7317073345184326, gyro_y: 0.3658536672592163, gyro_z: 0.3048780560493469}
[ESP=00:04:37.808] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.05712890625, acc_y: 0.00732421875, acc_z: 1.01806640625, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:37.828] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.056640625, acc_y: 0.00830078125, acc_z: 1.0185546875, gyro_x: 0.6097561120986938, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
[ESP=00:04:37.848] [Pacifier] topic=Pacifier/0_1/imu, pacifier=1, type=imu, values={temperature: 28.63828468322754, acc_x: 0.0576171875, acc_y: 0.0078125, acc_z: 1.017578125, gyro_x: 0.6707317233085632, gyro_y: 0.4268292784690857, gyro_z: 0.24390244483947754}
